participant,condition,conditionId,iconId,iconPosition,trial,repeat,startTimestamp,duration,movement,scrolling,errors
1,6,c50,28,36,2,1,1506415942645,4846,0.8529271528268967,5.379100799560547,0
1,6,c50,95,25,3,1,1506415947492,3417,0.301187655700727,2.201063632965088,0
1,6,c50,53,14,4,1,1506415950910,3227,0.1888241375777929,1.5538959503173828,0
1,7,s150,47,46,0,0,1506415956360,11002,0.7934991341481801,9.985872745513916,0
1,7,s150,3,72,1,0,1506415967363,6600,0.3705466737385812,4.9123735427856445,0
1,7,s150,38,26,2,0,1506415973964,29230,4.833656898860295,39.20107412338257,0
1,7,s150,98,145,3,0,1506416003195,26337,3.40084116729388,34.420045137405396,0
1,7,s150,90,90,4,0,1506416029533,15112,1.1845765547960012,12.193207740783691,0
1,7,s150,3,72,0,1,1506416044647,5225,0.370304308507622,3.377683639526367,0
1,7,s150,47,46,1,1,1506416049874,5795,0.5633293077524235,5.381838798522949,0
1,7,s150,38,26,2,1,1506416055670,5304,0.3354229340777545,4.7062482833862305,0
1,7,s150,90,90,3,1,1506416060976,11537,1.065446980691523,11.648765087127686,0
1,7,s150,98,145,4,1,1506416072514,11872,1.2773910391777208,10.55022668838501,0
1,8,p50,95,30,0,0,1506416086475,3283,0.33320787998351903,0,0
1,8,p50,24,9,1,0,1506416089760,2646,0.230589469670825,0,0
1,8,p50,45,48,2,0,1506416092408,2354,0.1064680959359201,0,0
1,8,p50,133,13,3,0,1506416094764,2802,0.1221271019885209,0,0
1,8,p50,61,23,4,0,1506416097568,1808,0,0,0
1,8,p50,133,13,0,1,1506416099377,8532,0.2876448315896889,0,1
1,8,p50,24,9,1,1,1506416107910,4467,0.37264373234675213,0,0
1,8,p50,45,48,2,1,1506416112378,1854,0.12960787958846076,0,0
1,8,p50,95,30,3,1,1506416114233,2892,0.2020683398419999,0,0
1,8,p50,61,23,4,1,1506416117125,2289,0.03504029222722541,0,0
